seq,drive_num,drive_result,drive_yds,quarter,time,team,position,play_desc,note,playid
1,1,Punt,17,1,15:00,SEA,-15,S.Hauschka kicks 70 yards from SEA 35 to NE -5. D.Amendola to NE 18 for 23 yards (D.Shead).,KICKOFF,37
2,1,Punt,17,1,14:57,NE,-32,(14:57) (Shotgun) T.Brady pass short right to R.Gronkowski to NE 20 for 2 yards (B.Irvin).,,59
3,1,Punt,17,1,14:15,NE,-30,(14:15) T.Brady pass short left to D.Amendola pushed ob at NE 26 for 6 yards (B.Maxwell).,,83
4,1,Punt,17,1,13:47,NE,-24,(13:47) (Shotgun) T.Brady pass short left to S.Vereen to NE 31 for 5 yards (K.Wright) [M.Bennett].,,122
5,1,Punt,17,1,13:15,NE,-19,(13:15) L.Blount up the middle to NE 33 for 2 yards (B.Wagner).,,146
6,1,Punt,17,1,12:34,NE,-17,"(12:34) L.Blount right tackle to NE 35 for 2 yards (K.Wright, C.Avril).",,167
7,1,Punt,17,1,11:49,NE,-15,(11:49) (Shotgun) T.Brady pass incomplete short left to S.Vereen.,,188
8,1,Punt,17,1,11:44,NE,-15,"(11:44) R.Allen punts 49 yards to SEA 16, Center-D.Aiken. B.Walters to SEA 16 for no gain (K.Arrington). Penalty on SEA-J.Johnson, Running Into the Kicker, declined.",PUNT,210
9,2,Punt,8,1,11:34,SEA,-34,(11:34) M.Lynch right end to SEA 19 for 3 yards (S.Siliga; D.Hightower).,,269
10,2,Punt,8,1,10:52,SEA,-31,(10:52) (Shotgun) M.Lynch up the middle to SEA 24 for 5 yards (D.Hightower; R.Ninkovich).,,290
11,2,Punt,8,1,10:14,SEA,-26,(10:14) (Shotgun) M.Lynch up the middle to SEA 24 for no gain (J.Collins).,,311
12,2,Punt,8,1,09:30,SEA,-26,"(9:30) J.Ryan punts 44 yards to NE 32, Center-C.Gresham, fair catch by J.Edelman.",PUNT,332
13,3,Interception,58,1,09:20,NE,-18,(9:20) (Shotgun) T.Brady pass short left to S.Vereen to NE 35 for 3 yards (K.Williams).,,369
14,3,Interception,58,1,08:41,NE,-15,(8:41) T.Brady pass short left to J.Edelman pushed ob at NE 46 for 11 yards (B.Maxwell).,,393
15,3,Interception,58,1,08:04,NE,-4,"(8:04) 71-C.Fleming has reported as eligible. L.Blount up the middle to SEA 48 for 6 yards (B.Wagner, R.Sherman).",,417
16,3,Interception,58,1,07:23,NE,2,"(7:23) L.Blount right tackle to SEA 47 for 1 yard (T.McDaniel, B.Wagner).",,442
